ProductID,UNIQUE_CUSTOMER,COST,GYMPrice,HOTELPrice,BUILDINGPrice,BUSINESSPrice,GYMCount,HOTELCount,BUILDINGCount,BUSINESSCount,On_Base_Contract,On_Any_Contract,REVIEW
GENMFWG,,7.29,18.0,18.0,18.0,18.0,2,2032,173,76,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
GENMFWY,,7.29,18.0,18.0,18.0,18.0,4,3680,228,195,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
GENMFWLB,,7.29,18.0,18.0,18.0,18.0,0,32,0,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
CLO35600CT,,45.44,68.95,68.95,79.99,68.95,55,3786,99,69,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
KCUPPODREG,,28.9,39.99,39.99,39.99,39.99,0,4264,14,11,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
KCUPPODDECAF,,31.69,39.99,39.99,39.99,39.99,0,1262,0,2,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
REFILLCB,,37.4,59.99,59.99,59.99,59.99,20,297,277,35,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
TOILETBRUSH,,1.93,3.25,3.25,3.25,3.25,68,7379,54,83,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
PITGRZIPGAL,,19.37,39.99,39.99,39.99,39.99,0,9,0,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
JUBILEE,,18.75,36.5,36.5,36.5,36.5,4506,1658,687,2492,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
MONK,,17.16,45.0,45.0,45.0,45.0,7015,989,2366,75,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
4046BLUE,,15.98,35.7,35.7,35.7,35.7,1,12,9,2,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
ML3036B,,19.44,45.0,45.0,45.0,45.0,39,283,12,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
GENWRT350,,20.29,39.99,39.99,39.99,39.99,19,3,59,96,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
SCH5300,,36.4,45.0,45.0,59.99,45.0,3,11758,218,1009,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
LIVI11516,,21.25,36.5,36.5,36.5,36.5,3,31426,136,70,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
GPC19375,,75.01,96.5,96.5,96.5,96.5,0,9,10,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
IBSBL060612,,13.5,34.5,34.5,34.5,34.5,0,2,0,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
RAC85260,,41.12,64.95,64.95,64.95,64.95,0,0,11,1,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
ITW22732,,95.56,96.5,96.5,96.5,96.5,0,0,1,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,LOW MARGIN
RAC97181,,25.35,59.99,59.99,66.0,59.99,0,0,0,2,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
ADV1230,,23.24,39.99,39.99,45.0,39.99,0,2090,303,1021,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
CB530,,19.53,26.5,28.5,36.5,36.5,0,6454,1182,661,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
EARLOOPDUSTMASK,,1.9,15.5,15.5,15.5,15.5,0,4351,1594,3683,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
CGW35001CT,,7.33,9.95,9.95,12.95,9.95,0,12725,300,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
GENWRT800,,22.43,28.5,59.99,59.99,43.0,10613,1412,1819,5186,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
NITBLKM,,44.97,195.0,195.0,195.0,195.0,10,3225,121,830,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
RAC74828CT,,99.3,0.0,148.5,148.5,148.5,0,100,95,93,,No,
RAC77182CT,,26.32,59.99,59.99,66.0,59.99,6,166,158,26,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
CLO01628,,32.39,59.99,59.99,66.0,59.99,0,0,17,6,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
LIVI21547,,34.79,48.75,48.75,59.99,48.75,90,49071,1541,716,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
WINDSOR,,7.79,19.5,19.5,36.5,19.5,0,6115,113,32,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
GPC19378,,68.49,79.99,79.99,79.99,79.99,0,72,0,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
FS9OZWRAPPED,,28.95,59.99,59.99,59.99,59.99,0,2792,2,16,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
RDICPPPCGEN,,69.07,108.5,108.5,108.5,108.5,0,1090,1,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
NES35010,,27.96,39.99,39.99,39.99,39.99,0,2934,71,40,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
NITBLKL,,35.0,195.0,195.0,195.0,195.0,4,2284,1069,1020,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
PGC31384,,24.06,39.99,39.99,39.99,39.99,0,539,0,2,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
PGC00162,,23.78,39.99,39.99,39.99,39.99,0,560,2,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
COMBS,,19.83,36.5,36.5,36.5,36.5,0,57,1,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
PGC02287CT,,53.53,79.99,79.99,79.99,79.99,0,104,41,11,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
DVO04743,,54.26,79.99,79.99,79.99,79.99,8,37,0,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
RAC97402CT,,74.21,108.5,108.5,108.5,108.5,0,71,67,5,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
RAC85261,,41.69,59.99,59.99,59.99,59.99,0,30,59,26,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
ROYGS1020,,71.03,79.99,79.99,79.99,79.99,0,5,0,4,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
NITBLKXL,,35.0,195.0,195.0,195.0,195.0,26,793,1442,1052,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
JTEATON-182B,,25.94,59.99,59.99,59.99,59.99,0,0,6,0,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
IBSBLR121206,,6.3,18.95,18.95,18.95,18.95,0,1228,0,13,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
VINYLGLMED,,20.0,120.0,99.9,120.0,120.0,49,1151,0,22,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
VINYLGLLG,,20.0,120.0,99.9,120.0,120.0,25,984,23,5,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
KIRKLAND17767,,20.99,29.99,29.99,29.99,29.99,0,10,0,845,"HOTEL, GYM, BUSINESS, BUILDING, RETRO, CRUNCH, LIBRARY",Yes,
