Customer-CustomerID ,Customer-CustomerName ,Customer-CustomerType ,Customer-SalesRepNumber 
100,Simon's VTrack Mobile POD,,2
10000,"Simon's Industrial Supply, Virtual",,2
10001,118 WOOSTER STREET,BUILDING,6
10002,29 WEST 15TH STREET,BUILDING,6
10003,36 WEST 15TH STREET,BUILDING,6
10004,42 WEST 15TH STREET,BUILDING,6
10005,"Simon's Industrial Supply, AutoRegTemplate",,2
10006,THE E. F CALDWELL & CO BUILDING,BUILDING,6
10007,VISITING SUPERINTENDANTS INC.,BUILDING,6
10008,"277 PARK AVENUE, LLC",BUILDING,8
10009,"28 EAST 73RD STREET CO., LLC",BUILDING,6
10010,"340 EAST 57TH STREET ASSOC., LLC",BUILDING,6
10011,"35 WEST 45TH STREET ASSOCIATES, LLC",BUILDING,24
10012,"736 WEST END AVENUE ASSOC., LLC",BUILDING,2
10013,"903 PARK AVENUE ASSOC., LLC",BUILDING,2
10014,"STAHL AND STAHL, LLC",BUILDING,2
10015,"STAHL BROADWAY CO., LLC",BUILDING,1
10016,100 CONGRESS STREET,BUILDING,6
10017,123 BAXTER STREET,BUILDING,24
10018,31 WEST 31ST STREET,BUILDING,6
10019,451 BROOME STREET,BUILDING,6
10020,49 WEST 72ND STREET,BUILDING,6
10021,534 HUDSON STREET,BUILDING,6
10022,HENRY STREET CONDOMINIUMS,BUILDING,6
10023,IKON,BUILDING,6
10024,THE ELLIOT,BUILDING,6
10025,THE JOHN MURRAY HOUSE,BUILDING,6
10026,125 EAST 84TH STREET,BUILDING,6
10027,160 EAST 3RD STREET,BUILDING,6
10028,275 CLINTON AVENUE,BUILDING,26
10029,145 EAST 84TH STREET,BUILDING,21
10030,181 HUDSON STREET,BUILDING,21
10031,300 WEST END AVENUE,BUILDING,1
10032,320 WEST END AVENUE,BUILDING,21
10033,325 WEST END AVENUE,BUILDING,21
10034,"363 GOWANUS DEVELOPERS, LLC.",BUILDING,27
10035,417 RIVERSIDE DRIVE,BUILDING,21
10036,468 RIVERSIDE DRIVE,BUILDING,21
10037,FIFTH AVE ARCADE,BUILDING,21
10038,MANCHESTER HOUSE,BUILDING,21
10039,SAXON TOWERS,BUILDING,21
10040,THE ABBEY,BUILDING,21
10041,THE CONTINENTAL - TOWER 111,BUILDING,21
10042,THE CORNICHE,BUILDING,21
10043,THE HAMILTON,BUILDING,21
10044,THE SHERIDAN,BUILDING,21
10045,THE SILVER STAR,BUILDING,21
10046,THE TOULAINE,BUILDING,6
10047,THE VERDI,BUILDING,6
10048,THE WESTERLY,BUILDING,21
